ID,GBM_1,GBM_2,DP_1,GBM_3,GBM_4,GBM_5,GBM_6,GLM_7,GBM_8,GBM_9,DP_2,GBM_10,GBM_11,DRF_1,XRT_1
19075,0.00635,0.03653,0.08959,0.06353,0.02919,0.04415,0.07839,0.08174,0.14594,0.00467,0.16633,0.12251,0.10839,0.36743,0
16376,0.67598,0.1977,0.30486,0.46206,0.03127,0.07922,0.45394,0.33429,0.37428,0.1985,0.51415,0.49077,0.33016,0.06156,0.04188
15715,0.12764,0.15349,0.08588,0.16135,0.05869,0.04489,0.0044,0.1526,0.01962,0.16546,0.14581,0.02895,0.98308,0.75191,0.05463
21553,0.07346,0.08687,0.03648,0.04188,0.21758,0.06776,0.80262,0.21496,0.31154,0.31296,0.13661,0.83351,6.13202,1.50563,0.08145
12590,0.34253,0.26689,0.17612,0.26443,0.35036,0.17851,0.39288,0.26077,0.34312,0.3945,0.55691,0.28232,0.39615,0.33326,0.19036
10930,0.15232,0.16993,0.13757,0.17172,0.20465,0.21824,0.10547,0.16327,0.10268,0.07953,0.01648,0.2039,0.13919,0.01081,0.01811
10713,0.54166,0.32907,1.07913,0.18939,0.42823,0.21409,1.00759,0.55852,0.35419,0.40522,3.21161,0.25428,0.71081,0.19962,0.15556
20626,0.39852,0.75629,0.74095,0.58056,1.2143,0.48575,0.65244,0.73044,0.71681,0.80732,2.23438,0.5992,1.16102,1.43866,0.17099
2813,0.05326,0.19466,0.10691,0.03443,0.14933,0.10325,0.02145,0.15291,0.01356,0.11063,0.05349,0.08112,0.19716,0.14438,0.06391
8516,0.02559,0.03834,0.02711,0.10953,0.0417,0.1693,0.10667,0.0431,0.00327,0.02414,0.02676,0.08213,0.16393,0.3811,0.01997
20767,0.02225,0.17772,0.11551,0.07491,0.13939,0.12961,0.11408,0.11309,0.08918,0.0507,0.04353,0.01206,0.46986,0.44498,0.05161
16546,0.22379,0.09024,0.18488,0.03895,0.25519,0.07017,0.48302,0.10723,0.10941,0.32069,0.27411,0.0727,0.33311,0.38824,0.06883
12100,0.59764,0.77442,0.50821,0.71185,0.54826,0.35526,1.14526,0.51709,0.84664,0.78437,0.21066,0.83837,0.94128,0.3046,0.02305
12913,0.20522,0.0336,0.82455,0.47557,0.10428,0.05575,0.41954,0.30552,0.62677,0.06341,0.18113,0.26611,0.00976,0.5373,0
17136,0.2842,0.37212,0.15853,0.30149,0.41851,0.27956,0.51041,0.17515,0.45278,0.23656,0.04289,0.45955,0.10653,0.15854,0.08352
2534,0.29221,0.39243,0.1323,0.386,0.41698,0.30493,0.75858,0.27719,0.50172,0.6187,0.09131,0.6869,0.99369,0.86218,0.05887
12276,0.12764,0.123,0.05159,0.12686,0.0974,0.06803,0.10959,0.19633,0.11604,0.0926,0.34437,0.17817,7.53868,1.58905,0.38022
6498,0.05565,0.07848,0.00467,0.03111,0.16738,0.1744,0.07991,0.10101,0.09707,0.28711,0.02774,0.19884,0.20346,0.00051,0.10105
19164,0.65426,0.55739,0.57512,0.95459,0.61198,0.67216,3.98996,1.38932,1.12107,0.73791,0.17184,1.06557,2.71585,1.11377,0.1849
